IMO,MMSI,Vessel Name,Call Sign,Type,Length,Beam
8914934,412000001,FAN KE,DLMU,Passenger,98,18
1111117,412000001,ZHELINYU00868,n.a.,Other Type,n.a.,n.a.
8626757,412000002,TERNA,AUUL,Unspecified,30,6
5035000,412000004,XX 04,n.a.,Unspecified,105,14
9203112,412000006,TIANRONGHAI,H3GD,Cargo,288,45
3247661,412000009,MIN XIA YU 66888,n.a.,Fishing,21,5
9055981,412000020,FU ZHOU HAI,BONT,Wing In Ground,225,32
8306773,412000100,XIN BIN CHENG,BVFB5,Fishing,197,32
4908470,412000866,HE PING FANG ZHOU,866,Fishing,178,24
1460362,412000998,QIONGLINYU00998,182,Fishing,n.a.,n.a.
9058402,412001000,SHENG HE,BOLU,Cargo,148,22
1,412001112,HAI WA 2,n.a.,Other Type,n.a.,n.a.
7820746,412001310,SUQIYU01310,1310,Fishing,148,22
9043627,412002000,ZHEN HE,BOAQ,Pleasure Craft,274,32
8929410,412002130,LIAN GANG 22,BTBW,Tug,32,9
9043639,412003000,DA HE,BOAY,Tug,274,32
7529196,412004000,SHEN HUA 508,BRME,Cargo,149,21
9651618,412004000,SHEN HUA 508,BRME,Cargo,190,32
8919594,412005000,BAO SHAN HAI,BOOB,Search & Rescue,226,32
8481121,412005020,JIFENGYU05020,BOOC,Fishing,94,12
8919609,412006000,LI SHAN HAI,BOOC,Cargo,225,32
1591422,412006009,LU JIAO NAN YU 6009,6009,Fishing,30,6
1362065,412006052,LIAOHUYU 6052,103,Fishing,28,6
8916334,412007000,QINFA 8,BRTJ,Fishing,225,32
9055993,412008000,FENG SHAN HAI,BOOD,Cargo,225,32
9058397,412009000,LONG HE,BOLV,Cargo,148,22
8319483,412011030,SHENGO 38,BTER,Tanker,62,10
8710211,412011080,GUI AN,BTEV,Passenger,38,8
8844024,412011110,QIN GANG 9,BTEF,Tug,38,10
8844048,412011120,QIN GANG 11,BTEH,Tug,38,10
8614857,412011150,QIN GANG 4,BTFA,Tug,31,8
8614869,412011170,QIN GANG 6,BTFB,Tug,34,9
8512566,412011260,HUAN WEI YI HUO,BTEY,Tanker,46,12
8832186,412011350,YING AN,n.a.,Dredger,46,10
9177533,412013000,LE CHANG,BOQC,Cargo,169,25
9175444,412014000,LE TONG,BOQD,Cargo,169,25
8601422,412015020,HAI XUN 051,BTMA,Speed Craft,60,7
2179348,412015070,HAIXUN151,BTMD,Law Enforce,72,12
9175420,412016000,LE MIN,BOQF,Cargo,169,25
8002250,412016010,JIAOGONG48,n.a.,Tug,68,11
8875683,412016040,JIAO GONG 53,BSUX,Tug,38,n.a.
8848238,412016110,JIAO GONG 55,BSUC,Tug,45,10
9128659,412016390,JIAO GONG 61,n.a.,Tug,n.a.,n.a.
8400414,412017000,DONG JIANG FENG,BFAG5,Cargo,149,21
7378030,412017210,JINHANGJUN109,BSTF,Dredger,132,18
9259678,412017370,TONG TAN,BSTF,Dredger,93,19
9069011,412017390,JIN HANG BO 49,BSTH,Dredger,66,13
9069035,412017450,JIN HANG BO 51,BSTK,Dredger,66,13
8843977,412017580,LU HANG TING 1,BSEW,Tug,25,n.a.
8639807,412017660,JIN HANG JUN 216,n.a.,Dredger,85,17
8354598,412017770,JIN HANG TING 39,n.a.,Tug,n.a.,n.a.
8354366,412017790,JIN HANG TING 41,BOPX2,Tug,n.a.,n.a.
9666273,412018000,HUA HAI HANG 2,BVHU8,Cargo,229,32
9129079,412018070,JIN GANG LUN 14 HAO,BTLC,Tug,36,10
8520628,412018180,JIN GANG LUN 9,BTLS,Tug,30,9
9267120,412018330,LILY STAR II,BSSZ,Tug,29,11
8733225,412018340,JIN YOU 1,BTLH,Tanker,65,10
8733237,412018370,JIN YOU 2,BTLI,Tanker,65,10
8658205,412018420,JIN YOU 8,BYZO,Tanker,49,10
8658190,412018430,JIN GONG SHUI 1,n.a.,Tanker,49,9
9549073,412018470,TIAN JING HAO,BSSZ,Dredger,127,23
9535747,412018530,TONG CHENG,BSTO,Dredger,162,28
9162019,412019000,ZHONG TUO 98,BQYT,Cargo,224,32
8302856,412020000,DONG JIANG SHUI,BFAG6,Fishing,169,21
4302200,412020202,XIPU8963,12345,Fishing,46,64
9689330,412020210,BEI HAI JIU 203,BSFD,Search & Rescue,49,13
8875073,412020540,YAN GANG TUO 17,BTHG,Tug,34,9
8955304,412020640,YAN GANG TUO 19,BTHP,Tug,32,9
8313817,412021050,HUA SHENG TUO 701,BVBE3,Unspecified,81,16
9326471,412021140,BEI HAI JIU 111,BSJT,Search & Rescue,98,15
9379105,412021150,BEI HAI JIU 201,BSJU,Search & Rescue,49,13
9326483,412021170,BEI HAI JIU 112,BSJW,Search & Rescue,98,15
8537994,412022010,ZHONG RAN 33,BQFZ,Tanker,n.a.,n.a.
9223277,412023000,TAI AN KOU,BOKD,Cargo,156,36
9183764,412024000,LE JIN,BOQG,Cargo,169,25
8814249,412024540,QING YOU 9,BTCG,Tanker,87,12
8703426,412024620,QING GANG TUO 15,BCTW2,Tug,34,10
8414972,412025000,AN SHUN JIANG,BOAV,Pleasure Craft,149,21
8414934,412026000,AN XIN JIANG,BOAR,Cargo,149,21
8414946,412027000,AN YUE JIANG,BOAS,Cargo,149,21
9597070,412028000,XIN DONG GUAN 9,BRTP,Cargo,221,32
9622784,412029000,ZHE HAI 169,BIAN4,Cargo,189,32
9183752,412030000,LE SHUN,BOQH,Cargo,169,25
8832485,412031050,YUN GANG 4,BTGH,Tug,33,8
8817241,412031140,YUN GANG 10,BTGN,Tug,34,9
8817253,412031150,YUN GANG 11,BTGO,Tug,34,9
9494371,412032000,WU ZHU HAI,BOCM,Cargo,225,32
9488229,412034000,YAN DANG HAI,BOCN,Cargo,190,32
9637600,412035000,XIN YUE SHUN,BRTR,Cargo,189,32
9560144,412036000,HUA HAI LONG,BSNK,Dredger,181,43
8832344,412036140,YONG GANG TUO 9,BLBV,Tug,35,n.a.
8322727,412039000,AN JI JIANG,BVLB,Tanker,106,16
8400816,412041000,AN KANG JIANG,BOUR,Cargo,148,22
8414867,412041040,XIANG YING,BPCA,Cargo,106,17
8400828,412043000,AN LONG JIANG,BOUS,Cargo,148,22
8870695,412043150,SAN HANG TUO 1002,n.a.,Tug,31,8
8707147,412043280,SAN HANG QIJIU,BODU9,Other Type,n.a.,n.a.
9547556,412043780,SAN HANG TUO 3005,BSXR,Tug,49,12
9609201,412043810,XIN HAI HU 4,BSAK,Dredger,135,27
9056844,412044510,HANG JUN 5001,BSNQ,Dredger,112,17
7382029,412044520,HANG JUN 1001,BSMK,Dredger,83,13
8828800,412044550,HANG TUO 2001,BSMD,Cargo,60,11
8424965,412044570,HANG BO 3501,BSMJ,Dredger,53,11
8424953,412044580,HANG BO 3502,BSMK,Cargo,53,11
8897899,412044590,HANG BO 3503,BSML,Dredger,53,11
8863537,412044610,HANG BO 3505,BSMN,Dredger,53,11
8897916,412044620,HANG BO 3506,BSMO,Dredger,53,11
8897904,412044630,HANG BO 3504,BSMP,Dredger,53,11
8815853,412044640,HANG LIAN 702,BSMQ,Dredger,80,14
8426767,412044680,HANG JUN 1003,BSMV,Dredger,81,14
7368451,412044720,HANG JUN 4003,BSNF,Dredger,100,17
7819278,412044750,HANGJUN4007,BSNG,Other Type,129,18
7819280,412044760,HANGJUN 4008,BSNH,Other Type,129,18
7819292,412044770,HANGJUN4009,BSNI,Dredger,129,18
7819761,412044780,HANGJUN9001,BQDD,Dredger,161,29
8213976,412044840,HANG JUN 1008,BSMZ,Fishing,66,11
8962008,412044960,HANG BO 4307,BSLD,Dredger,47,n.a.
7433050,412045230,XIN HAI SHI,BSAR,Dredger,173,26
9318292,412045240,HANG JUN 4011,BQDE,Dredger,103,18
8783024,412046050,HU JIU 17,BSAQ,Tug,n.a.,n.a.
9302530,412046070,HU JIU 18,BSAR,Tug,36,10
9346794,412046080,DONG HAI JIU 131,BSCG,Search & Rescue,77,14
8828953,412046090,HU JIU LAO 62,BSBV,Other Type,75,19
8639338,412046110,DALIHAO,BSCI,Other Type,100,38
9344980,412046120,DONG HAI JIU 112,BSCI,Search & Rescue,98,15
9093907,412046130,DONG HAI JIU 201,BSCJ,Search & Rescue,49,13
9646522,412046140,DE TAO,BTIA,Tug,73,17
8400830,412047000,AN NING JIANG,BOUT,Cargo,148,22
8848393,412047120,YUN YOU 6,BHTA,Tanker,67,10
9060144,412047130,HAI GONG YOU 28,BPIS,Tanker,67,10
9557563,412048000,Xin Ao Yuan Jing,BQCX,Cargo,142,32
7902893,412049000,GUAN HE KOU,BPQX,Cargo,146,22
8822038,412049010,YU FENG,BPQX,Cargo,139,20
9609328,412050000,DE HUI,BSNM,Other Type,89,17
9338498,412050140,HAI XUN 31,BTOC,Law Enforce,112,13
8715833,412050690,MEI HUA LING,BROX,Cargo,164,22
8715845,412050710,WEI HU LING,BROY,Cargo,164,22
8828850,412051080,XIANG HENG,BRVW,Cargo,105,16
9108893,412051430,TAO YUAN,BRVJ,Cargo,123,20
9108908,412051450,LIN YUAN,BRVL,Cargo,123,20
8896754,412051520,DA QING 223,n.a.,Tanker,67,10
9056820,412052510,Guang Zhou Hao,BSPM,Dredger,121,21
